Item ID,Name,Type,Manufacturer/Brand,Material,Weight (kg),Durability (years),Dimensions,Protection Level,Special Features,Introduced Year,Price (INR),Usage,Popularity,Legal Restrictions
1,Kevlar Vest,Body Armor,ArmorTech Industries,Kevlar,2.5,5,NA,NIJ Level IIIA,Lightweight and Flexible,2010,15000,Personal Protection,High,Restricted
2,Tactical Helmet,Head Gear,BattleShield Inc.,Kevlar and Polycarbonate,1.4,7,NA,NIJ Level IIIA,Adjustable Fit,2012,10000,Personal Protection,High,Restricted
3,Bulletproof Jacket,Body Armor,SafeGuard Armor,Ceramic and Kevlar,3.0,5,NA,NIJ Level III,Multilayer Design,2015,20000,Personal Protection,High,Restricted
4,Ceramic Plate Insert,Body Armor Accessory,DefenseCore Systems,Ceramic,2.0,5,30x25 cm,NIJ Level IV,Interchangeable Plates,2018,12000,Personal Protection,Medium,Restricted
5,Ballistic Shields,Protective Shield,Tactical Armor Co.,Ceramic and Kevlar,8.0,10,100x60 cm,NIJ Level III,Integrated Viewing Window,2014,50000,Riot Control/Personal Protection,High,Restricted
6,Elbow and Knee Pads,Protective Gear,ImpactProtect Solutions,High-Density Polymer,0.5,5,NA,None,Adjustable Straps,2011,5000,Riot Control/Public Safety,Medium,None
7,Riot Control Helmet,Head Gear,RiotMaster Gear,Polycarbonate and Kevlar,1.6,6,NA,NIJ Level IIIA,Anti-Fog Visor,2013,12000,Riot Control,Medium,Restricted
8,Full Body Armor Suit,Body Armor,EliteForce Systems,Ceramic and Kevlar,6.0,7,NA,NIJ Level IV,Coverage from Neck to Feet,2020,60000,Personal Protection/Combat,High,Restricted
9,Flak Jacket,Body Armor,ArmorPro Solutions,Nylon and Steel,4.0,5,NA,Fragmentation Protection,Lightweight and Durable,2005,18000,Combat,Medium,Restricted
10,Stab-Resistant Vest,Body Armor,StabShield Corp.,Steel Mesh and Kevlar,3.5,5,NA,Spike Protection,Slash-Resistant Coating,2017,25000,Personal Protection,Medium,Restricted
11,Night Vision Goggles (NVG),Optical Device,VisionGuard Optics,Glass and Polymer,0.6,8,NA,Gen 3,Enhanced Night Vision,2015,30000,Combat/Security,High,Restricted
12,Infrared Binoculars,Optical Device,InfraSight Technologies,Glass and Metal,1.2,10,NA,Infrared Detection,Long-Distance Viewing,2016,25000,Surveillance,Medium,Restricted
13,Thermal Imaging Scopes,Optical Device,ThermoVision Systems,Glass and Metal,1.5,8,NA,High Sensitivity,Target Detection,2017,35000,Combat/Surveillance,High,Restricted
14,Rangefinders,Optical Device,RangeMaster Precision,Glass and Metal,0.4,7,NA,Laser,Precise Distance Measurement,2018,15000,Combat/Outdoor,Medium,Restricted
15,Holographic Weapon Sights,Sights,OpticTech Industries,Metal and Polymer,0.2,6,NA,Holographic Display,Quick Target Acquisition,2014,20000,Combat,Medium,Restricted
16,Reflex Sights,Sights,PrecisionAim Solutions,Metal and Polymer,0.3,6,NA,Red Dot,Improved Aim,2013,12000,Combat,Medium,Restricted
17,Laser Target Designators,Targeting Device,LaserPro Systems,Metal and Polymer,0.6,8,NA,Green Laser,Precision Targeting,2019,35000,Combat,High,Restricted
